"School Name","Session Date",Question
"Bransty Primary School",10/06/2019,"What can we do right now in school to reduse plastic waste?"
"Elmhurst School",10/06/2019,"We would like to know what you think about the playground Maths games :)?"
"Oak Hill First School",10/06/2019,"Why do you think children choose to do the right things at school?"
"Manchester Enterprise Academy",10/06/2019,"What factor most influenced your transition from Primary to secondary?"
"Danecourt school",09/06/2019,"Its now getting warmer outside, what could you do to be safe in the sun?"
"Mickleton Primary School",09/06/2019,"Which activity would you most like to see at Sports Day?"
"Valence Primary School",07/06/2019,"Should classes get an extra reward if they win punctuality or attendance for two weeks in a row?"
"Stormont House School",06/06/2019,"What kind of charity should our school support?"
"Ysgol Y Deri",06/06/2019,"Has somebody been kind to you today?"
"Dame Allans Junior School",06/06/2019,"Which of these suggestions do you think would improve playtimes?"
"GURU GOBIND SINGH KHALSA COLLEGE",05/06/2019,"Do you really understand the dangers of the internet?"
"New Bewerley Community School",05/06/2019,"What would your favourite healthy snack be? ?"
"Danecourt school",04/06/2019,"From last weeks results, what should we name Danecourt classes?"
"George White Junior School",04/06/2019,"If this design was chosen for the small hall. What would you like it to show about Norwich? ?"
"Templewood School",04/06/2019,"How can we make Art, DT and Music even better?"
"The Divine Mercy Primary School",04/06/2019,"Divine Mercy is getting a new PE kit. What colour would you like? ?"
"The Divine Mercy Primary School",04/06/2019,"Divine Mercy is getting a new PE Kit. What colour would you like? ?"
"Brambleside Primary School",04/06/2019,"Would you like to take part in another event to raise money for charity?"
"The Hart School",03/06/2019,"Following on from the successful film night, Miss D'Arcy Baron would like to hold a 'Musical Sing-along Film Night'. Which musical do you think students would be interested in seeing the most?"
"King's Lynn Academy",03/06/2019,"After recent reports, do you think they should still allow people to climb Everest? ?"
"Benjamin Britten School",01/06/2019,"Are you familiar with the term 'Period Poverty'?"
"Apex Primary School",31/05/2019,"How can we improve playtimes? ?"
"Moorland Primary School",30/05/2019,"What can we do to improve behaviour in assemblies?"
"Stanground st Johns",23/05/2019,"There don't tend to be many tickets in the lunchtime box for the golden table.  How can we improve this system?"
"Oundle Primary School",23/05/2019,"In July we will be holding a non uniform day to raise money for the charity Shine. This charity helps very poorly children's last wishes come true. What could you wear that is the colour yellow?"
"GURU GOBIND SINGH KHALSA COLLEGE",22/05/2019,"How can we improve our smartphone and internet addiction?"
"The Mill Primary Academy",22/05/2019,"Which logo would you like to represent your New School Council?"
"Isleworth Town",22/05/2019,"What after school clubs would you like to see at Isleworth Town?"
"Isleworth Town",22/05/2019,"What after school clubs would you like to see at Isleworth Town?"
"Elms Farm School",22/05/2019,"Which charity should we support?"
"Seymour Primary",22/05/2019,"How could your school create its own electricty to power itself?"
"Bradfield School",22/05/2019,"Which of the following do you think would best help to minimise bullying or support bullying victims in our school?"
"Littlegreen School",21/05/2019,"Littlegreen is getting a new PE kit, what colour would you like?"
"Norwich Primary Academy",21/05/2019,"The first charity you have chosen to support is EACH (East Anglian Children's Hospice). How would you like to raise money for them?"
"LDE UTC",21/05/2019,"Where would you like to go on the end of year reward trip? ?"
"Danecourt school",21/05/2019,"What could we change our class names to?"
"Sparken Hill Academy",21/05/2019,"What would like to see on the menu at lunch time?"
"Templewood School",21/05/2019,"What are your favourite lessons?"
"Manchester Enterprise Academy",20/05/2019,"Who would you go to about bullying in school?"
"Hanley Castle High School",20/05/2019,"Which part of school makes you feel most stressed?"
"Valence Primary School",20/05/2019,"What would be the best way to involve everyone in school in increasing their fitness?"
"Peakirk cum Glinton CofE Primary School",20/05/2019,"What ways can we reduce waste in our school? ?"
"Colfe's Junior School",20/05/2019,"What should the prize be for the winning house each term?"
"King's Lynn Academy",19/05/2019,"This week's question is posed by Mr Endersby after quite a debate in his form: Have a look at the picture that your Tutor has been sent, is this a taxi or a car?"
"Tangmere Primary Academy",17/05/2019,"The SMART SCHOOL COUNCIL subscription is ending soon, how are we going to raise money to keep it going?"
"Ysgol Penyffordd",17/05/2019,"What outdoor play equipment would we like to buy?"
"St Elizabeth's Catholic Primary School",16/05/2019,"Which pattern do you think would suit our uniform best? ?"
"Allens Croft Primary School",16/05/2019,"Which new playground markings should we have? ?"
ol-amil-test,15/05/2019,"What's the time Mr Wolf?"
"Brambleside Primary School",15/05/2019,"If the Golden Mile was to restart, would you take part at lunchtime?"
"Portfield Primary Academy",14/05/2019,"Who should win the Mrs Pelling Art Award this term? ?"
"Norwich Primary Academy",14/05/2019,"What would you like as a reward for 100% class attendance each week?"
"Norwich Primary Academy",14/05/2019,"Which local charities should we support this year?"
"Richard Alibon Primary School",14/05/2019,"Would you want to do a 'teacher swap' for the day?"
"Norwich Primary Academy",14/05/2019,"What would you like as a reward for 100% class attendance each week?"
"Norwich Primary Academy",14/05/2019,"What would you like as a reward for 100% class attendance each week??"
"Elm Wood Primary School",14/05/2019,"What would you like to do for Golden Time?"
"Danecourt school",13/05/2019,"How can we raise money to buy new scooters and go-carts?"
"The Hart School",13/05/2019,"From money raised for the School Council, we are looking into purchasing more water fountains for pupils in the school, How happy would you be for this to be implemented?"
"Sutton Valence Preparatory School",13/05/2019,"What would you really like to do for our Spots and Stripes charity day (Leadership Week)?"
"Benjamin Britten School",13/05/2019,"What would you like questions to focus on this term?"
"Oak Hill First School",13/05/2019,"What is behaviour like in your classroom and why?"
"Apex Primary School",10/05/2019,"What type of learning can we do outside besides P.E?"
"George White Junior School",10/05/2019,"Would you like our school to have a 'walk to school/cycle to school day' once a month? This would include as many pupils and staff as possible. ?"
"Plantation Primary",10/05/2019,"We are thinking of making some changes to the school uniform. Which of the following ONE would you like to see changed the most?"
"Sankey Valley St James CE Primary School",10/05/2019,"How could we improve the KS2 playground?"
"Manchester Enterprise Academy",09/05/2019,"For part of sports day this year you will be competing against the other forms in your year group. Which sport would you like to compete in?"
"Smallwood Primary School",09/05/2019,"What school value would you like for being a 'Responsible Citizen'?"
"Sparken Hill Academy",08/05/2019,"Do you regularly have school meals?"
"Seymour Primary School",08/05/2019,"Which of the options has the greatest positive impact on your learning?"
"Smallwood Primary School",07/05/2019,"What school value would you like for being a 'Confident Individual'?"
,07/05/2019,"How can we ensure children are using games safely on-line?"
"Norwich Primary Academy",07/05/2019,"Which one of these local charities should we support this year?"
"Richard Alibon Primary School",07/05/2019,"Would you be interested in an art competition ? (Individual)?"
"Templewood School",07/05/2019,"What schools trips would you like to go on in future?"
"Elmhurst School",07/05/2019,"What do you think stops you from making progress in your learning?"
"Halley Primary School",07/05/2019,"How do we want to celebrate birthdays at Halley? ?"
"Danecourt school",06/05/2019,"What could  we do  at Danecourt  to make  it more  fun?"
"King's Lynn Academy",05/05/2019,"Do you feel safe when you are at school?"
"Kingswood House School",03/05/2019,"Should we have an alternative to Chessington for the winners of the House Competition? ?"
"Southfields Academy",03/05/2019,"Which charity would you like us to donate the money the student council raise this year?"
"Manor Junior School",03/05/2019,"Which film should we watch at our DVD night?"
"Barnsole Primary School",03/05/2019,"How would you like to spend the money that we create at the Summer Fair?"
"Derbyshire school mock up",03/05/2019,"Which mindfulness activity would you like to use during Mental Health and Wellbeing Week?"
"Ysgol Penyffordd",03/05/2019,"What sport would people like to do in PE after Sports Day?"
"Smallwood Primary School",03/05/2019,"What value would you like for being a 'successful learner'?"
Hanover,02/05/2019,"What should we do to raise money on Red Nose Day? ?"
"St George's British International School",02/05/2019,"Should we have a quiet area and where?"
"Richard Alibon Primary School",02/05/2019,"Would you be interested in taking part in a mathletics competition?"
"Sankey Valley St James CE Primary School",01/05/2019,"How much do you know about the school house that you are in? How could we find out more?"
"Trinity Church of England Primary",01/05/2019,"What can we do to tackle litter in and around our school?"
ol-amil-test,30/04/2019,"Should we test what's wrong?"
"Smallwood Primary School",30/04/2019,"What school value would you like for our pillar 'Effective Contributor'?"
,30/04/2019,"What school value would you like for our pillar 'Effective Contributor'?"
,30/04/2019,"What school value would you like for our pillar 'Effective Contributor'?"
"Templewood School",30/04/2019,"What charity shall we raise money for when we do our Sponsored Run in Sports Week?"
"Elm Wood Primary School",30/04/2019,"What Clubs would you like to have?"
"Belmont Junior School",29/04/2019,"What would you like to have in our new playground? There are 3 areas to develop: 1 - the football pitch area; 2 - the grass area next to the football pitch and 3 - the long black area by the fence. ?"
"Sparken Hill Academy",29/04/2019,"Which charity should we raise money for next year?"
"The Hart School",29/04/2019,"On a scale of 1-5, 1 being ""Not Interested at all"" and 5 being ""Very Interested"", how would you feel about attending a School Disco/Dance?"
"GURU GOBIND SINGH KHALSA COLLEGE",29/04/2019,"Where should we try and improve behaviour?"
,29/04/2019,"In your opinion, what would be the best type of club/society to set up by and for students in our school?"
"Benjamin Britten School",29/04/2019,"You told us that bullying is an issue in our school, how would you prefere to report bullying?"
"Little Ealing Primary School",28/04/2019,"What shall we do for our last fundraiser this year?"
"King's Lynn Academy",28/04/2019,"Recent weeks have seen Extinction Rebellion protests taking place in London to highlight environmental issues and climate change. What difference do you think protests like this might make?"
"Blackheath Prep",28/04/2019,"Should we have a 'Walk to School Wednesday' in the Summer term to address the environmental impact on our surrounding areas?"
"Mickleton Primary School",28/04/2019," What would you most like to receive Dojos for?"
,27/04/2019,"Which value would you like for 'Successful Learner'?"
"Our Ladys",26/04/2019,"how do you think we can reduce plastic pollution/litter in school?"
Hanover,26/04/2019,"What should we do for Golden Time?"
"Brambleside Primary School",26/04/2019,"Does music help you to concentrate?"
"Danecourt school",25/04/2019,"How can you be a good friend?"
"Oxclose Community Academy",25/04/2019,"If the school was to introduce a house system(Like Harry Potter), what themes should this be?"
"Sacred Heart RC Primary School",25/04/2019,"How can we improve the local community?"
"St John's Church School",25/04/2019,"What would you like to do for health week?"
"Isleworth Town",24/04/2019,"Does the school help you to learn about your rights?"
"Stopsley Community Primary School",24/04/2019,"On average, how often do you read at home each week?"
"Parochial CE Primary School",24/04/2019,"How are you going to be a Courageous Advocate?"
"St Finian's Catholic Primary School",24/04/2019,"How can we ensure that our school grounds are free from litter?"
"Richard Alibon Primary School",23/04/2019,"What would you like to spend the money from the Golden Mile?"
"Richard Alibon Primary School",23/04/2019,"Would you like to have the opportunity to compete in a team mathlete?"
"Seymour Primary School",22/04/2019,"How do you think we can best inspire everyone to enjoy reading and using the new library?"
"Wallisdean Infant School",22/04/2019,"What shall we choose as our next power star reward?"
,21/04/2019,"How often do you check your phone (when you are not at school)?"
,19/04/2019,"Which value would you like for 'Effective Learner'?"
"Woodheys Primary School",18/04/2019,"What is the best way to look after our school environment?"
"New Bewerley Community School",17/04/2019,"How often do you have breakfast at home before school? ?"
"Elmgrove Primary &amp; Nursery",16/04/2019,"How should we make sure that each class is doing their meetings?"
"Ormiston Example School",10/04/2019,"Where should we improve behaviour?"
"Ormiston Example School",10/04/2019,"Brexit may or may not happen next week. There has been a mass protest in London and several petitions for both sides of the argument have been started. Why do you think people are so frustrated?"
"St Elizabeth's Catholic Primary School",10/04/2019,"what would you like to improve on our uniform?"
"Freehold Community Primary Academy",09/04/2019,"Which song do we want to have as our assembly song for next term?"
"Breckenbrough School",09/04/2019,"What type of vouchers do students want to recieve from school for their Christmas and birthday gift?"
"Sankey Valley St James CE Primary School",09/04/2019,"Which animal charity would you like school to support?"
"Beacon High",05/04/2019,"What would you like to see senior students doing more of next year?"
"Beacon High",05/04/2019,"What would you like to see senior students doing more of next year?"
"Oak Hill First School",04/04/2019,"What are your favourite Friday Challenge activities?"
"Templewood School",02/04/2019,"Which British Value do you think is most important?"
"Valence Primary School",02/04/2019,"The school offers bagels each morning so no child needs to be hungry. Which option would make you more likely to have a bagel in the morning?"
"Harold Wood",02/04/2019,"Last time you voted 'yes' to hold Enterprise Week. Enterprise week will be during the week beginning 10th June. In our classes we have to decide what we would like to do.?"
"St Elizabeth's Catholic Primary School",01/04/2019,"Could our school uniform and PE kit be smarter when you compare to some local schools?"
"King's Lynn Academy",01/04/2019,"If we were to order Student Planners, how much would you use one? ?"
"The Hart School",01/04/2019,"The School Council are working with an organisation that plans to build a new youth centre called 'The Den'. We are designing the logo. Which design do you prefer?"
"The Smallberry Green Primary School",01/04/2019,"Which value should we follow next half term? Please vote for one of the following options.?"
"Barnsole Primary School",29/03/2019,"Which focus of the term would you prefer next?"
"Maypole Primary School",29/03/2019,"Are there any parts of the school day which you feel could be improved in some way? Please give suggestions for improvement or change.?"
"Ysgol Y Deri",29/03/2019,"Do you think pupils should have more say in school matters?"
"St Elizabeth's Catholic Primary School",28/03/2019,"what  should the sensory room be called?"
"Dame Allans Junior School",28/03/2019,"Which topic shall we focus on next for our bronze eco award?"
"Brambleside Primary School",28/03/2019,"If you were lonely, would you use a buddy bench?"
"George White Junior School",27/03/2019,"Would you like there to be a film on in each year group for wet play.?"
"Penwortham Girls' High School",26/03/2019,"Which consequence should be given if a pupil has their mobile phone confiscated?"
"Richard Alibon Primary School",26/03/2019,"What sport after school clubs do you want to see?"
"Ministry of Stories",26/03/2019,"What form of writing would you like to focus on the most? ?"
"King's Lynn Academy",25/03/2019,"We are still talking about Brexit, which may or may not happen next week. Over the weekend there was a mass protest in London and several petitions for both sides of the argument have been started. Why do you think people are so frustrated? ?"
"Valence Primary School",25/03/2019,"What reward should the children with gold stickers receive?"
"Ashbridge Independent School",25/03/2019,"Would you be interested in School Council working to make these things happen (you may vote for more than 1)?"
"Elmhurst School",25/03/2019,"What reward would you like for the winning house at the end of term?"
"Pooles Park",22/03/2019,"Should we be allowed to go in the garden more often? For example, at break and lunch.?"
"Moorland Primary School",22/03/2019,"What Action Teams should we start with?"
"Howbridge Junior School",22/03/2019,"What weekly reward should we have for the class with the most healthy snacks?"
"Bere Alston Primary School2",22/03/2019,"How shall we raise money for the school and Cancer Research?"
"LDE UTC",22/03/2019,"How Would You Like To Fundraise In School?"
"Appleton Roebuck Primary School",21/03/2019,"Which UK charity would you like to fundraise for during the Autumn Term?"
"Saffron Walden County High School",21/03/2019,"What style water bottle would you be interested in buying for school and how much would you be prepared to pay (we have added approx. prices)?"
"The Laurels Primary School",21/03/2019,"What areas of the curriculum can we (the children) improve most?"
"Oak Hill First School",21/03/2019,"What do you think of after school clubs at Oak Hill?"
"St George's British International School",21/03/2019,"Would Y1 and Y2 like to choose their lunch like KS2?"
"Wroughton Federation",21/03/2019,"Infants School - How could we make our school more environmentally friendly?"
"The Hart School",21/03/2019,"Which aspect of your marking and feedback helps you to make the most progress?"
"Isleworth Town",20/03/2019,"Which one of these school values is the most important?"
"Lace Hill Academy",20/03/2019,"What type of books would you like to see in the school library?"
"Parochial CE Primary School",20/03/2019,"How would you like to see the prayer garden being used? ?"
"Sacred Heart RC Primary School",20/03/2019,"Is it a good idea to have a  book club?"
"Kingsley Primary School",20/03/2019,"The amount of litter dropped in the UK has increased by 500% in the last 60 years. 1.3million pieces of litter are dropped on UK roads every weekend. It is my responsibility to safely pick up and dispose of any litter that I see.?"
"Trinity Church of England Primary",20/03/2019,"We would like to cut-down on our use of disposeable plastics in school. How should we do it?"
"Littlegreen School",20/03/2019,"Should Littlegreen Academy have a charter - a set of rights that everyone agrees to?"
"Richard Alibon Primary School",19/03/2019,"Would you like an opportunity for free writing?"
Hollymount,19/03/2019,"How did you find world book day? What would you want to change  for the theme next year?"
"Friern Barnet",19/03/2019,"Overall if you compare last term (before Christmas) with this term, do you think the food provided by the canteen has improved, stayed the same or got worse. (This could relate to a change in choice, taste or quality).?"
"Templewood School",19/03/2019,"What clubs would you like?"
"Elm Wood Primary School",19/03/2019,"What would you like to do for golden time?"
"GURU GOBIND SINGH KHALSA COLLEGE",19/03/2019,"What is the best way to improve play time?"
"Harold Wood",18/03/2019,"Some Y6 children thought of an idea to raise money for the ""Chat Room"" - they would like to have an Enterprise Week, where each class makes something to sell to the other classes. We have done this before - would you like to do it again this year?"
"St Elizabeth's Catholic Primary School",18/03/2019,"If you could change our school bell, how would you like it to sound?"
"King's Lynn Academy",18/03/2019,"Why is Norfolk one of the most popular places in the UK to live/visit? ?"
,18/03/2019,"Do you think we should dress up for Matilda day? ?"
"The Hart School",18/03/2019,"On a scale of 1-5, 1 being not good and 5 being really good, generally how good is the quality of marking and feedback in the school?"
"Apex Primary School",18/03/2019,"What action teams should be set up by students?"
"Little Ealing Primary School",17/03/2019,"Did you like Harrisons' burger and chips?"
"Benjamin Britten School",17/03/2019,"Do you think there is an issue with bullying in our school?"
"Sankey Valley St James CE Primary School",17/03/2019,"How would you like to fundraise for our animal charity?"
,15/03/2019,"What would you like as our next fund raising event?"
"Trinity Church of England Primary",15/03/2019,"What is the best way to let the Communications Team know your ideas for improving the school?"
"The Brooksbank School",15/03/2019,"What is the best thing about Brooksbank?"
"The Brooksbank School",15/03/2019,"What is the best way for our Communications team to send questions out to form groups?"
"Beacon High",15/03/2019,"Tutor Time next year?"
"Elmgrove Primary &amp; Nursery",14/03/2019,"What should our new reward chart look like?"
"Netherton Junior and Infant School",13/03/2019,"What reward should be given, at the end of each half term, to the winners of the house point challenge?"
"Hampton High",13/03/2019,"The best way to fund raise for a school project?"
"Frisby Primary School",13/03/2019,"How can we improve recycling in school?"
"Belmont Junior School",13/03/2019,"What ideas do you have to improve the school dining room environment?"
"Brambleside Primary School",13/03/2019,"Should we use toilet passes to help the behaviour in the toilets?"
"Belmont Junior School",12/03/2019,"What should the prize be for 100% attendance?"
"Richard Alibon Primary School",12/03/2019,"I am a good writer.?"
"Seymour Primary School",12/03/2019,"What has been your favourite part of Science week?"
"Danecourt school",12/03/2019,"I am happy at Danecourt because?"
"Templewood School",12/03/2019,"What sport do you want to do for house points reward?"
"Elm Wood Primary School",12/03/2019,"How should school ensure that every child works with the new school dog?"
"Manor Field Primary School",12/03/2019,"Which charity should Manor Peeled profits go to?"
"Elmhurst School",12/03/2019,"Which after school clubs would you prefer for the Summer Term?"
"The Brigg Infants",11/03/2019,"How shall we celebrate Easter at school?"
"St Elizabeth's Catholic Primary School",11/03/2019,"would you like sauces at lunchtime ? what sauce would you like?"
"The Brooksbank School",11/03/2019,"What are the best thing about Brooksbank?"
"Valence Primary School",11/03/2019,"Should we bring back the Easter Egg Competition?"
"Valence Primary School",11/03/2019,"Should we bring back the Easter Egg Competition?"
"Holy Cross Catholic Primary School",11/03/2019,"What should we plant in the Junior playground?"
"Hawthorns Primary",10/03/2019,"Should all children have a chance to get involved in improving their school?"
"King's Lynn Academy",10/03/2019,"For Year 9, 10 & 11 only: Mr McLean would like to know if you believe that the use of GCSEPod for revision will be seen in future assessment and exam results; what do you think?"
"Manchester Enterprise Academy",10/03/2019,"After our recent uniform drive, many students complained of being cold. To provide warmth in the winter months we are looking at an MEA jumper. Which would you prefer?"
"Whitchurch Primary",08/03/2019,"How can we make lunch times more enjoyable?"
,08/03/2019,"Which charity should St Josephs put forward as their bid to the BKCAT? ?"
"Oak Hill First School",08/03/2019,"What else could we do to celebrate diversity in our school?"
"George White Junior School",07/03/2019,"Do you enjoy wet play? Please discuss what's working well and how wet play could be improved. ?"
"Stanground st Johns",07/03/2019,"How safe to you feel in school?  Please be honest and explain why you feel that way (for example, when and where you feel most or least safe).?"
"St Elizabeth's Catholic Primary School",07/03/2019,"During Lent we will be raising money for CAFOD, Mission together and one more charity. Which charity would you like to be the third?"
"St Elizabeth's Catholic Primary School",07/03/2019,"During Lent we will be raising money for CAFOD, Mission together and one more charity. Which charity would you like to be the third?"
Hanover,07/03/2019,"What should we use the cage for?"
"St George's British International School",07/03/2019,"What can we do to improve the KS2 playground? ?"
"Dame Allans Junior School",07/03/2019,"What is the biggest problem in the cloakrooms?"
"Wroughton Federation",06/03/2019,"Red Nose Day is coming up! Which challenge would you like to see your teachers doing to raise money for Comic Relief?"
"Cardinal Griffin Catholic College",06/03/2019,"What issues would you like the school council to deal with?"
"Orchard Manor School",06/03/2019,"What is important to you about Orchard Manor School?"
"Howbridge Junior School",06/03/2019,"What is the best way to encourage children to bring healthy snacks for break?"
,05/03/2019,"What is Bedminster Down’s biggest priority for change next term?"
"Richard Alibon Primary School",05/03/2019,"I enjoy writing.?"
MSPRUKS3,05/03/2019,"Which of these 'Curriculum for Life' subjects interests you most?"
MSPRUKS3,05/03/2019,"Which of these 'Curriculum for Life' subjects interests you most?"
"Templewood School",05/03/2019,"How could we raise money to fund lockers?"
"Whitegate Primary and Nursery School",05/03/2019,"Playground equipment?"
"Begbrook Primary Academy",05/03/2019,"What activities would we like in the noisy room during wet play?"
"Eastborough School",04/03/2019,
"Charter School North Dulwich",04/03/2019,aqas?
,04/03/2019,"Where should GHS students focus our impact in order to improve our school and community?"
"King's Lynn Academy",04/03/2019,"Should people who leave their countries to join groups such as ISIS be allowed to return to their home countries? ?"
"Oxclose Community Academy",04/03/2019,"How could the school improve drinks and Eco friendliness of the school?"
"Wrockwardine Wood CofE Junior",04/03/2019,"How can we raise money for Comic Relief?"
"Wrockwardine Wood CofE Junior",04/03/2019,"How can we raise money for Comic Relief?"
"The Hart School",04/03/2019,"With Red Nose Day coming up on Friday 15th March 2019, which of these fundraising events are you most likely to take part in? ?"
"Harold Wood",04/03/2019,"We are celebrating World Book Day on the 7th March by paying £1 and dressing up as a book character. Money raised will go towards buying new books. What type of books would you like? Once you have chosen, under 'ideas' - choose the top 3 books/authors you would like.?"
"Elmhurst School",04/03/2019,"What would you like to do to raise money for Red Nose Day?"
"Raphael Independent School",03/03/2019,"Which is the best idea for a spring school fundraiser?"
"Priory School",03/03/2019,"How can we raise money for Red Nose Day?"
"Freehold Community Primary Academy",03/03/2019,"How would you like to see our library being improved? ?"
"Manchester Enterprise Academy",03/03/2019,"Following the success of the boys interform Football competition, what girls interform competition would you like to see?"
"Plantation Primary",03/03/2019,"What do you think of our school curriculum? ?"
"Benjamin Britten School",03/03/2019,"You have told us that the time taken for collecting phones after school is too long, what should we do to improve it?"
"Hanley Castle High School",03/03/2019,"Which of the following categories would you most like to make an appearance in the upcoming ""College Knowledge"" quiz?"
,01/03/2019,"What should we focus on most in order to positively impact our school and community?"
"University Academy Holbeach",28/02/2019,"On March the 29th Britain is due to leave the EU.  Teresa May is busy negotiating a new deal after the first was rejected.  What do you think Britain should do if ""no deal"" with the EU can be made?"
"St Elizabeth's Catholic Primary School",28/02/2019,"What whole school fundraising would you like to do over lent?"
"George White Junior School",28/02/2019,"DO YOU THINK OUR SCHOOL HAS TAUGHT YOU EVERYTHING YOU NEED TO KNOW ABOUT HOW YOUR BODY MIGHT CHANGE NOW AND IN THE FUTURE? AFTER THIS QUESTION YOU WILL BE ASKED FOR YOUR ACTIONS. CAN THESE BE SUGGESTIONS ABOUT WHAT THE TEACHERS CAN DO TO HELP YOU WITH THIS WEEK'S QUESTION. WHAT'S GOOD/NOT? ?"
Hanover,28/02/2019,"What should we do to raise money on Red Nose Day?"
"Heston Primary School",28/02/2019,"What changes in Maths do you like the most?"
"St George's British International School",28/02/2019,"Who wants to be part of the CT?"
"Cardinal Griffin Catholic College",27/02/2019,"The School Council, would like to know which issues you would like us to resolve involving the school canteen?"
"Cardinal Griffin Catholic College",27/02/2019,"What are the main issues that you find with the school canteen?"
"Elm Wood Primary School",27/02/2019,"How can we raise our profile as a school in the community?"
"Parochial CE Primary School",27/02/2019,"We are the best learners we can be?"
"Castle Hill Primary",27/02/2019,"Are you happy with how school dinners are organised? Do you want a change?"
"Elm Wood Primary School",26/02/2019,"How can we, as a school, raise our profile in the community?"
"Brambleside Primary School",26/02/2019,"What would you like to improve the most about our school?"
"Holy Cross Catholic Primary School",26/02/2019,"What games/sports/activities could we introduce and play during lunch time on the KS2 playground to enhance our physical skills?"
"Richard Alibon Primary School",26/02/2019,"Which type of writing do you enjoy the most ?"
"Templewood School",26/02/2019,"Who is your favourite author?"
"Valence Primary School",26/02/2019,"Should children who receive gold stickers get 20 minutes golden time on a Friday?"
"Tangmere Primary Academy",26/02/2019,"Which fundraising activities would you like to have for Red Nose Day?"
"Greenbank Primary",25/02/2019,"What would help you if you were being bullied?"
"King's Lynn Academy",25/02/2019,"We are still hearing a lot about Brexit and there is now only about a month until Britain leaves the EU - What do you think should happen?"
,25/02/2019,"What are the biggest issues that students could work to improve within our school? ?"
"Pooles Park",25/02/2019,"How could we improve computing in school?"
"Pooles Park",25/02/2019,"How could we improve computing in school?"
"Mickleton Primary School",25/02/2019,"What fundraising event shall we do for comic relief?"
WhistonWillisPrimaryAcademy,25/02/2019,"We would like to set up an enrichment activity for students. We have decided on a new club.?"
"Elmhurst School",25/02/2019,"How much are you enjoying the sessions with the sports coaches?"
"Tweeddale Primary School",24/02/2019,"How can we improve behaviour in the playground? ?"
"Belmont Junior School",24/02/2019,"What shall we do for Comic Relief?"
,17/02/2019,"What would you prefer in playground first - games or a quiet area?"
"Sankey Valley St James CE Primary School",17/02/2019,"If we were to support a charity in school, what kind of charity would you like it to be?"
"Isleworth Town",15/02/2019,"Where should we put the friendship stop?"
"Charter School North Dulwich",15/02/2019,"Yr.7 & 8 students need Locker.”?"
"Sankey Valley St James CE Primary School",14/02/2019,"What kinds of after school clubs would you like?"
"Green End Primary School",14/02/2019,"Which skill should we focus on developing this term?"
"Seymour Primary School",14/02/2019,"As a school, how can we ensure that we keep safe online?"
"Breckenbrough School",14/02/2019,"Should the soup pot be moved from the hot food queue location?"
"Green End Primary School",14/02/2019,"Which local employer should our Communications Team invite into school to work with us?"
MSPRUKS3,14/02/2019,"What school action would be good for us as a school/pru? ?"
"Charter School North Dulwich",14/02/2019,"How can we improve the school toilets, starting with the Atrium?"
"Richard Alibon Primary School",13/02/2019,"How can we use the quad?"
"Stopsley Community Primary School",13/02/2019,"How would you like to be rewarded for having the best class attendance at the end of term?"
"Highgate Wood School",13/02/2019,"What should be the next improvement in the school's infrastructure?"
"Bedgrove Infant School",13/02/2019,"Would you like 5 minutes a day of extra exercise?"
"Charter School North Dulwich",13/02/2019,"Would downloading a 'Charter School North Dulwich' App help?”?"
"Copeland Road Primary",12/02/2019,"How would you like to dress for Comic Relief?"
"Templewood School",12/02/2019,"What do we want to do for an Easter activity?"
"Holy Cross Catholic Primary School",12/02/2019,"How should we raise money for Lent this year?"
"Littlegreen School",12/02/2019,"Restorative Ptractice is about learning to repair something that might have been damaged.  What do you think should happen if a pupil breaks a window, damages a door or a wooden panel?"
"Littlegreen School",12/02/2019,"Restorative Ptractice is about learning to repair something that might have been damaged.  What do you think should happen if a pupil breaks a window, damages a door or a wooden panel?"
"Charter School North Dulwich",11/02/2019,"”We would be more likely to recycle if…”?"
,11/02/2019,"What should we do to improve our School Library?"
"Oak Hill First School",11/02/2019,"Comic Relief day is coming up.  What event should we hold to raise money?"
"St Elizabeth's Catholic Primary School",11/02/2019,"What whole school fundraising would you like to do over lent?"
"Moorland Primary School",11/02/2019,"How shall we choose a Communication Team?"
"Bere Alston Primary School2",11/02/2019,"Which charity should we raise money for this year?"
"LDE UTC",11/02/2019,"If you were able to change the College day, what would be your best day?"
"Elmhurst School",11/02/2019,"Which Maths or strategy game would you like to buy?"
"The Divine Mercy RC Primary School",11/02/2019,"How can we eat more fresh fruit and vegetables at lunchtime?"
"The Hart School",11/02/2019,"The Youth Parliament Elections are being held this week. What issues will be most important to you, when you come to vote? Write down the voting link in your planners, voting ends Friday at midnight. www. staffscvys.org.uk/ukyp/?"
"King's Lynn Academy",11/02/2019,"Thursday is Valentine's Day, what is your opinion on this day? ?"
"Benjamin Britten School",10/02/2019,"Do you think recycling is important and how can we raise awareness of recycling within our school community?"
"Brackensdale Primary School",10/02/2019,"What award would you give Brackensdale Primary School ?  (2018-2019)?"
"Manchester Enterprise Academy",09/02/2019,"How do we make others more tolerant?"
"Sankey Valley St James CE Primary School",08/02/2019,"Which of these activities would you like us to include as part of Golden Time?"
"Barnsole Primary School",08/02/2019,"How would you like to line up at the end of break and lunch?"
"Plantation Primary",08/02/2019,"What is the most important? ?"
"Frisby Primary School",07/02/2019,"How do you think we should improve the school?"
"Isleworth Town",07/02/2019,"should we have a friendship stop or not?"
